Date,Link,Newspaper Name,Headline,Report
"31 Mar,2020",https://www.thedailystar.net/coronavirus-deadly-new-threat/news/pandemic-hit-growth-asia-china-world-bank-1888036,The Daily Star,Coronavirus pandemic to hit growth in Asia: World Bank,"The coronavirus pandemic is expected to sharply slow growth in developing economies in East Asia and the Pacific as well as China, the World Bank said in an economic update today.The bank said precise growth forecasts were difficult, given the rapidly changing situation, but its baseline now called for growth in developing economies in the region to slow to 2.1% in 2020, and to -0.5% in a lower-case scenario, compared to estimated growth of 5.8% in 2019.
In China, where the coronavirus outbreak originated in late December, growth was projected to slow to 2.3% in the baseline scenario, or as low as 0.1% in the lower-case scenario, compared to growth of 6.1% in 2019.The region faced an unusual combination of ""disruptive and mutually reinforcing events,"" the report said. ""Significant economic pain seems unavoidable in all countries.""Countries in the region should invest in healthcare capacity and take targeted fiscal measures, such as providing subsidies for sick pay and healthcare, to mitigate some of the immediate impacts of the pandemic, the World Bank said.""Containment of the pandemic would allow for a sustained recovery in the region, although risks to the outlook from financial market stress would remain high,"" it said.
The financial shock of the pandemic was also expected to have a serious impact on poverty, defined as income of $5.50 a day, the bank said. The baseline scenario called for nearly 24 million fewer people to escape poverty across the region in 2020 due to the pandemic. If the economic situation deteriorated even further, poverty could increase by about 11 million people.Prior projections estimated that nearly 35 million people would escape poverty in the region in 2020, including over 25 million in China alone, the bank said.In addition to targeted fiscal measures, countries should look to deeper international cooperation and new cross-border public-private partnerships to ramp up the production and supply of key medical supplies and services, and ensure financial stability in the aftermath of the crisis, it said.
Countries should also ease credit to help households smooth their consumption and help firms survive the immediate shock of the outbreak.""The good news is that the region has strengths it can tap, but countries will have to act fast and at a scale not previously imagined,"" said Victoria Kwakwa, vice president for East Asia and the Pacific at the World Bank."
"30, Mar 2020",https://www.thedailystar.net/grammy-winning-usa-music-star-joe-diffie-dies-of-coronavirus-1887613,The Daily Star,Grammy-winning country music star Joe Diffie dies of coronavirus,"Joe Diffie, a Grammy award-winning country music singer who had several chart-topping hits in the 1990s, has died of coronavirus. He was 61.Diffie's death was announced on his Facebook page, which said he died on Sunday ""from complications of coronavirus.""His death came just two days after he had announced that he had tested positive for the virus and was receiving medical care.""My family and I are asking for privacy at this time,"" he said. ""We want to remind the public and all my fans to be vigilant, cautious and careful during this pandemic.""Diffie, who was from Oklahoma, had several hit songs during the 1990s including ""Pickup Man,"" ""Prop Me Up Beside the Jukebox (If I Die)"" and ""John Deere Green.His first album, ""A Thousand Winding Roads,"" was released in 1990 and including his hit song ""Home.""Nearly 137,000 people have tested positive for coronavirus in the United States and there have been more than 2,400 deaths."
"31 Mar,2020",https://www.thedailystar.net/sports/cricket/news/lancashire-cc-chairman-dies-coronavirus-1888054,The Daily Star,Lancashire CC chairman dies from coronavirus,"David Hodgkiss, Lancashire cricket club's chairman, succumbed to coronavirus aged 71 on Monday (March 30).
Hodgkiss, who had been on the board at Old Trafford for 22 years having first joined in 1998, took over as chairman in April 2017 from Michael Cairns. He also served in the roles of honorary treasurer and vice-chairman during his association.
""Further to the announcement from his family, it is with great sadness that Lancashire Cricket announces the passing of its Chairman, David Hodgkiss OBE,"" read a club statement of Hodgkiss who had some prior health issues.""David served the club with distinction over many years including holding the offices of treasurer, vice-chairman and latterly chairman. He was much loved by everyone at Lancashire Cricket Club and respected throughout the cricketing world.""Our sincere condolences and thoughts and prayers are with his family. A further statement will be released in due course but at this time we ask that everybody respects the family's privacy,"" it added."
"31 Mar, 2020",https://www.thedailystar.net/backpage/news/zimbabwe-begins-coronavirus-lockdown-1887955,The Daily Star,Zimbabwe begins coronavirus lockdown,"Zimbabwean authorities yesterday began enforcing a three-week lockdown in its fight against the spread of coronavirus after the disease left one person dead and infected six others.President Emmerson Mnangagwa declared a 21-day ""total"" lockdown from yesterday curtailing movement within the country, shutting most shops and suspending flights in and out of Zimbabwe.

 "
"30 Mar,2020",https://www.thedailystar.net/sports/bangladesh-cricket/news/bcb-provides-support-women-cricketers-amid-coronavirus-pandemic-1887649,The Daily Star,BCB provides support to women cricketers amid coronavirus pandemic,"With cricket coming to a standstill due to coronavirus pandemic, the women cricketers in the country are concerned about their livelihoods just as their male counterparts. The Bangladesh Cricket Board (BCB) today announced that they will be supporting the women cricketers with financial incentive during these tough times.
The Bangladesh Cricket Board (BCB) announced a one-time amount of BDT 20,000.00 to assist women cricketers who had appeared in the 2018-19 Women's NCL and have been in BCB's selection camps in 2019-20.All cricketing activities of the BCB including women's tournaments and training camps have been postponed indefinitely in relation to the COVID-19 outbreak.""Just like their male counterparts, the majority of women cricketers also look towards domestic events for an earning. Besides, we had training camps scheduled for women players which have been hampered by the prevailing COVID-19 situation. The cricketers have been forced to pass a period of non-activity and they need our support,"" BCB president Nazmul Hassan was quoted as saying in the media release.The BCB had earlier announced that men cricketers who were not under its first-class contract list but playing in this season's Dhaka Premier League, would receive a one-time incentive of 30,000 Taka. The BCB president had told The Daily Star yesterday that they were going to exercise extreme caution before starting cricketing activities.""We are going to maintain the highest level of caution. We don't know where, when or how it will end. I think after April there may be a chance to talk but before that I don't think that there is an opportunity to talk about sports,"" he had said."
"30 Mar,2020",https://www.thedailystar.net/usa-extends-coronavirus-social-distancing-guidelines-april-30-1887622,The Daily Star,Trump extends coronavirus social distancing guidelines to April 30,"Bracing the nation for a death toll that could exceed 100,000 people, US President Donald Trump on Sunday extended restrictive social distancing guidelines through April, bowing to public-health experts who presented him with even more dire projections for the expanding coronavirus pandemic.It was a stark shift in tone by the president, who only days ago mused about the country reopening in a few weeks. From the Rose Garden, he said his Easter revival hopes had only been ""aspirational.""
The initial 15-day period of social distancing urged by the federal government expires Monday and Trump had expressed interest in relaxing the national guidelines at least in parts of the country less afflicted by the pandemic. He instead decided to extend them through April 30, a tacit acknowledgment he'd been too optimistic. Many states and local governments have stiffer controls in place on mobility and gatherings.Trump's impulse to reopen the country met a sober reality check Sunday from Dr. Anthony Fauci, the government's top infectious disease expert, who said the US could experience more than 100,000 deaths and millions of infections from the pandemic. That warning hardened a recognition in Washington that the struggle against the coronavirus will not be resolved quickly even as Trump expressed a longing for normalcy.""I want our life back again,"" the president told reporters.Trump, who has largely avoided talk of potential death and infection rates, cited projection models that said potentially 2.2 million people or more could have died had social distancing measures not been put in place. And he said the country would be doing well if it ''can hold'' the number of deaths ""down to 100,000.'' He said the best case for the country would be for the death rate to peak in about two weeks.''It's a horrible number,'' Trump said, but added, ""We all together have done a very good job.""Brought forward by Trump at the outdoor briefing, Fauci said his projection of a potential 100,000 to 200,000 deaths is ""entirely conceivable'' if not enough is done to mitigate the crisis. He said that helped shape the extension of the guidelines, which he called ""a wise and prudent decision.""Americans are now being called on to prepare for another 30 days of severe economic and social disruption, as schools and businesses are closed and public life is upended. One in 3 Americans remain under state or local government orders to stay at home to slow the spread of the virus.
Trump acknowledged that he may be forced to extend the guidelines again at the end of April, but expressed hope that by June 1, ''we should be well on our way to recovery.""The federal guidelines recommend against group gatherings larger than 10 and urge older people and anyone with existing health problems to stay home. People are urged to work at home when possible and avoid restaurants, bars, non-essential travel and shopping trips.For more than a week, Trump had been bombarded by calls from outside business leaders who urged him to begin re-opening the nation's economy and warned of catastrophic consequences that could damage his re-election chances if it remained shuttered for much longer.""The president is right. The cure can't be worse than the disease, and we're going to have to make some difficult trade-offs,'' Trump's top economic adviser Larry Kudlow had said last Monday, reflecting the thinking of his economic team.That talk alarmed health experts, who urged Trump to keep encouraging people to stay home. The virus was still spreading, with the peak still weeks away, the experts warned.In the end, Trump, in the face of dire projections and increasingly alarming images out of New York, sided with his health experts and backed off the idea of loosening recommended restrictions on less impacted parts of the country.''They're the best in the profession and they didn't like that idea,"" he said of Fauci and Dr. Deborah Birx, head of the White House coronavirus task force.Trump was clearly moved by the scenes from New York, particularly hard-hit Elmhurst Hospital in his native Queens.""I've been watching that for the last week on television,'' he said.""Body bags all over, in hallways. I've been watching them bring in trailer trucks — freezer trucks, they're freezer trucks, because they can't handle the bodies, there are so many of them. This is essentially in my community, in Queens, Queens, New York,'' he continued. ""I've seen things that I've never seen before.""Phasing out the recommendations would have been a symbolic nod to business and an affront to public health experts, but may have had little practical impact. States across the country already have their own restrictions in place that, in many cases, are far stricter than the administration's, and those would have remained in place.Birx and Fauci said even those areas yet to face a significant outbreak must prepare for the eventuality that they will.""This can happen anywhere,'' Fauci said. ''And that's really one of the issues that we're concerned about and why we were so reluctant to pull back at a time when we need to put our foot on the gas as opposed to on the brake.""The US had more than 139,000 COVID-19 cases reported by Sunday evening, with more than 2,400 deaths. During the course of the Rose Garden briefing, reported deaths grew by several dozen and the number of cases by several thousand.
Most people who contract COVID-19 have mild or moderate symptoms, which can include fever and cough but also milder cases of pneumonia, sometimes requiring hospitalization. The risk of death is greater for older adults and people with other health problems. Hospitals in the most afflicted areas are straining to handle patients and some are short of critical supplies.Fauci's prediction would take the death toll well past that of the average seasonal flu. Trump repeatedly cited the flu's comparatively much higher cost in lives in playing down the severity of this pandemic.Trump's change in tone was previewed Saturday, when the president suggested then backed away from instituting an ""enforceable"" quarantine of hard-hit New York, Connecticut and New Jersey. Instead, the White House task force recommended a travel advisory for residents of those states to limit non-essential travel to slow the spread of the virus to other parts of the USThe quarantine notion was strongly opposed by the governors of those states, who argued it would cause panic.Even as he opted against the quarantine, Trump on Sunday suggested without evidence that hospitals and hospital systems were ""hoarding"" ventilators and other medical supplies that were needed in other areas of the state. He also encouraged the Food and Drug Administration to streamline approvals for companies seeking to sanitize badly needed respirators so they can be reused.For weeks, Trump minimized the gravity of the pandemic, and House Speaker Nancy Pelosi on Sunday accused Trump of ""denial"" in the crisis and called it ""deadly.''Asked whether she believes that attitude cost American lives, Pelosi told CNN: ""Yes, I am. I'm saying that.''Former Vice President Joe Biden, the likely Democratic presidential nominee, said he wouldn't go so far as to lay the blame for deaths on the president. ""I think that's a little too harsh,'' he told NBC."
"30 Mar,2020",https://www.thedailystar.net/country/combating-coronavirus-bgb-donates-tk-125cr-pm-relief-and-welfare-fund-1887658,The Daily Star,Combating coronavirus: BGB donates Tk 12.5cr to PM's Relief and Welfare Fund,"Border Guard Bangladesh (BGB) donated Tk 12.5 crore to the Prime Minister's Relief and Welfare Fund to help combat the outbreak of coronavirus in the country.
Major General Shafeenul Islam, director general of BGB, donated Tk 12,52,02,803 on behalf of all members of BGB yesterday.He handed over the check to Ahmad Kaikaus, principal secretary to Prime Minister Sheikh Hasina, at PM's Office.The donation includes Tk 2,52,02,803 comprised of one day's salary of all BGB officials and Tk 10 crore from BGB's welfare fund."
"30 Mar,2020",https://www.thedailystar.net/coronavirus-pandemic-in-bangladesh-owners-propose-turn-gazipur-resort-isolation-centre-1887766,The Daily Star,Coronavirus: Owners propose to turn Gazipur resort into isolation centre,"Owners of an eco-resort in Gazipur have volunteered their premises to be used as an isolation centre for people on institutional quarantine or those diagnosed with coronavirus.""All the 17 partners of the resort have agreed in this regard at a meeting,"" Syed Bazlul Karim, managing director and partner of Rajendra Eco Resort and Village Cottage Park, told our Moulvibazar correspondent today.Retired senior officials of police and army, civil bureaucrats and businessmen partnered in 2009 to build the resort on 80 bighas of land in a village in Shalban, about eight kilometres from Rajendrapur Cantonment in Gazipur and near Bangabandhu Safari Park.
There are more than 100 rooms and 14 cottages, Bazlul Karim, also a freedom fighter and retired additional inspector general of police, said.  There are also several mud huts which can be used for isolation facilities, the MD said.""I fought for the country in 1971 responding to Bangabandhu's call. This [coronavirus situation] is also a kind of war and we all have to be involved in this battle from wherever we are. Inshallah, we will win and humanity will prevail,"" Bazlul Karim said.
""People are becoming scared in the present situation as some are being placed in quarantine or isolation at public or private establishments in populated areas. There are many resorts on the outskirts of the cities. The owners of the resorts can come forward to help the government, because in this situation resorts will not be in business,"" he added.""This is an opportunity to help the government. We should encourage"
"31 Mar,2020",https://www.thedailystar.net/frontpage/news/import-1000-ventilators-immediately-1887994,The Daily Star,"Import 1,000 ventilators immediately","The government should help private hospitals procure ventilators because there could be an acute shortage of the key device in the fight against coronavirus, Labaid Limited Managing Director AM Shamim said.Ventilator crisis is a pressing issue in different countries and if the government lends money immediately, the private hospitals will be able to install 1,000 ventilators in four to six weeks, he hoped.""The government should provide us Tk 500 crore in interest-free loans to install around 10,000 ventilators in two months,"" Shamim told The Daily Star in an interview yesterday.""The coming months are crucial because there could be an outbreak. We still have time, if we start working together now. We will be able to tackle the situation,"" he said.He said the hospitals would be able to procure ventilators from China, spending Tk 6-8 lakh for each.Bangladesh has so far reported 49 confirmed cases of Covid-19, with five deaths. Critically ill patients need ventilator support.According to the Directorate General of Health Services (DGHS), there are 508 ICU beds in government hospitals and 737 private ones.Shamim said health service providers in the private sector want to join the government efforts to fight the spread of coronavirus.""It is time the public and private sectors came together and formed an alliance against Covid-19.""It will be needed to tackle an outbreak, Shamim said, adding that the government could offer a health insurance package for doctors, nurses and other medical employees.Referring to the reports of shortage of safety gear for medical personnel, Shamim suggested the safety gear be collected and distributed by a single authority.""Private hospitals may purchase the equipment from the government. This will ensure smooth supply of the safety gear.""Shamim suggested that coronavirus testing facilities be decentralised and scaled up among private hospitals.""If private hospitals can perform coronavirus tests, people's hassles will reduce. The hospitals will collect the kits from the government.Shamim said there were around 400 hospitals across the country with over 50 beds.
""The government should give them a monetary incentive for smooth operation over the next three months. Private hospitals will surely return the money in instalments.""Randomly setting up hospitals may not be the solution, he said.""Currently, there are around 1.5 lakh beds in private hospitals. The government could uitilise these facilities.""Labaid has 300 beds, he said, adding, ""If government asks, we can dedicate 150 for coronavirus patients. We have the establishment, trained personnel and other equipment. This would be a more feasible approach.""Referring to reports of people not getting treatment at different hospitals, Shamim said the problem would be solved if hospitals are dedicated for coronavirus patients only. "
"31 Mar,2020",https://www.thedailystar.net/coronavirus-deadly-new-threat/news/indian-police-fire-tear-gas-jobless-workers-defying-coronavirus-lockdown-1887739,The Daily Star,Indian police fire tear gas on jobless workers defying coronavirus lockdown,"Police in western India fired tear gas to disperse a stone-pelting crowd of migrant workers defying a three-week lockdown against the coronavirus that has left hundreds of thousands of poor without jobs and hungry, authorities said on Monda Prime Minister Narendra Modi ordered the country's 1.3 billion people to remain indoors until April 15, declaring such self-isolation was the only hope to stop the viral pandemic.But the vast shutdown has triggered a humanitarian crisis with hundreds of thousands of poor migrant labourers employed in big cities such as Delhi and Mumbai seeking to head to their homes in the countryside on foot after losing their jobs.Many have been walking for days, some with families including small children, on deserted highways with little access to food or water.On Sunday, about 500 workers clashed with police in the western city of Surat demanding they be allowed to go home to other parts of India because they had no jobs left.The police tried to convince them that it is not possible since buses or trains are not available...However, the workers refused to budge, and started pelting stones at police,"" Surat deputy commissioner of police Vidhi Chaudhari said.She said the workers, most of them employed in the shuttered textile industry in Surat, were driven indoors by tear gas volleys and on Monday 93 of them were detained for violating lockdown orders.
TIP OF ICEBERG
India has registered 1,071 cases of the coronavirus, of whom 29 have died, the health ministry said on Monday. The number of known cases is small compared with the United States, Italy and China, but health officials say India is weeks away from a huge surge that could overwhelm its weak public health system.
A health official said the large scale movement of people into the countryside risked spreading the coronavirus widely, compounding the challenge of containing the outbreak in the world's second most populous country.""It's an evolving situation with daily new challenges coming up, like having migratory populations moving from one place to another. Like non-affected states adjoining affected states,"" said Dr S.K. Singh, director of the National Centre for Disease Control, which investigates and recommends control measures for outbreaks of illness.In the northern state of Uttar Pradesh, health workers dressed in protection suits sprayed disinfectant on a group of migrant workers who were also trying to make the journey home to their villages, local television showed. They were made to sit on a street corner in the Bareilly district and doused with hose pipes, prompting anger on social media.Nitish Kumar, the top government official in the district, later said health workers had been ordered to disinfect buses being used by the local authorities but in their zeal they had also turned their hoses onto migrant workers.""I have asked for action to be taken against those responsible for this,"" he said in a tweet.The federal government said on Monday that it had no plans to extend the shutdown beyond the three-week period.But neighbouring Nepal announced it would prolong its shutdown for another week from Tuesday. The landlocked country has reported only five cases of the virus and no deaths, but it is concerned contagion will spread as more people travel."
