Date,Link,Newspaper Name,Headline,Report
"18 Mar, 2020",https://en.prothomalo.com/bangladesh/corona-unit-to-be-set-up-at-each-division-maleque,Prothom Alo,Corona unit’ to be set up at each division: Maleque,"Health and family welfare minister Zahid Maleque on Wednesday said ‘corona unit’ will be set up at eight divisions across the country aiming to facilitate monitoring system regarding the coronavirus (COVID-19) outbreak, reports BSS.“Corona Unit will be set up at eight divisions in the country so that monitoring system can be strengthen and people can know the information regarding the virus and receive required treatment,” he told a discussion on combating coronavirus.Aiming to manage the increased quarantined patients due to COVID-19, he also directed the authorities concerned to keep some places, including Bishwa Ijtema Maidan, Tongi, ready apart from Kurmitola General Hospital and Kuwait Bangladesh Friendship Government Hospital.Each person, who returned to the country from coronavirus-affected countries, must abide by all the rules given for the 14-day quarantine process, he said, adding that, in default, legal action will be taken in this regard.During the discussion, Institute of Epidemiology, Disease Control and Research (IEDCR) director Meerjady Sabrina Flora told the discussants that they have opened a Facebook account – iedcr, COVID-19 Control Room- so that people get information regarding the coronavirus.In the discussion, it is informed that a total of 17 hotline numbers are open for any kind of help or contact regarding coronavirus."
"18 Mar,2020",https://en.prothomalo.com/corporate/global/uber-lyft-suspend-pooled-rides-in-us-canada-amid-corona-outbreak,Prothom Alo,"Uber, Lyft suspend pooled rides in US, Canada amid corona outbreak","Uber Technologies Inc and Lyft Inc Tuesday began suspending shared rides on their ride-hailing platforms in the United States and Canada to limit the spread of the coronavirus.Uber also said it has suspended its shared rides services in London and Paris.The pooled option, which allows riders to book trips at lower prices by sharing the car with up to three other passengers traveling in the same direction, has been disabled for users opening the apps.
“Our goal is to help flatten the curve on community spread in the cities we serve,” senior vice president Uber Rides and Platform Andrew Macdonald said in a statement.
A spokesman said similar steps outside the two countries would be evaluated on a case-by-case basis.
Regular rides and the company’s food delivery platform, Uber Eats, remain available, but Uber said it was in contact with local authorities to adjust operations as needed.North America provides the bulk of Uber’s revenue, but pooled rides make up only a small share of all bookings, data by US cities showed.
Lyft, Uber’s smaller competitor operating only in the United States and Canada, said in a statement on Tuesday that it was also suspending all shared rides.
“The health and safety of the Lyft community is our top priority, and we’re dedicated to doing what we can to slow the spread of COVID-19,” the company said.
A larger share of Lyft’s rides are shared compared to Uber’s, but still make up less than a third of all trips, city data showed.
The new coronavirus that causes respiratory illness has spread quickly throughout the United States, killing more than 80 people and infecting more than 4,700.
The federal government has urged people to avoid gatherings of more than 10 people. Some state and local authorities have closed bars, restaurants and other venues to try and slow the spread of the virus.Beginning on Tuesday, Uber users in the United States and Canada will also see a message reminding them to consider if the ride they plan to book is essential and to “travel only when necessary,” images provided by Uber showed.Riders are also being asked to consider the safety of their drivers by washing their hands before and after a ride, sitting in the back seat and rolling down the window to improve ventilation.Uber has previously said it will compensate drivers and delivery people diagnosed with coronavirus or placed in quarantine by health officials for up to 14 days.

"
"21 Mar,2020",https://en.prothomalo.com/business/local/corona-slashes-hotel-occupancy,Prothom Alo,Corona slashes hotel occupancy,"Coronavirus has hit the hotel business hard in the capital and guest occupancy at the capital's upscale hotels has plummeted. Bookings are being continuously cancelled, both for rooms and for events. Foreign guests are cancelling their room bookings and various local events are being cancelled.Hotel occupancy has fallen to 10 to 15 per cent because of the corona outbreak. During normal times, the hotels have 70 to 80 per cent guest occupancyNoor Ali, MD, The WestiSeniRooms at Dhaka's top hotels had been booked for foreign guests of the state, scheduled to attend celebrations for Mujib Borsho, marking Bangabandhu Sheikh Mujibur Rahman's birth centenary. With the main celebrations being cancelled due to the coronavirus outbreak, the foreign guests have cancelled their bookings. The various events at the hotels have been cancelled too.Coronavirus has hit the hotel business hard in the capital and guest occupancy at the capital's upscale hotels has plummeted. Bookings are being continuously cancelled, both for rooms and for events.or management at the city's four and five-star hotels have said their business has dropped by 65 to 70 per cent and they fear massive losses in the days to come Dhaka.Advisor of the apex body of hotel owners, Bangladesh International Hotel Association (BIHA), and managing director of Unique Hotel and Resorts (Westin) Noor Ali said, ""Hotel occupancy has fallen to 10 to 15 per cent because of the corona outbreak. During normal times, the hotels have 70 to 80 per cent guest occupancy.""Noor Ali went on to say that certain foreign nationals in Bangladesh stay for long stretches of time at the city's top hotels, but they too are leaving in fear of corona. If this trend continues, the hotels will be absolutely vacant in just a matter of time.
According to the World Health Organisation (WHO), coronavirus is present in over 150 countries of the world, with around 200,000 persons affected. And nearly 9000 of them have died.According to Bangladesh Institute of Epidemiology, Disease Control and Research, there are 20 coronavirus patients in the country.
A senior official of a five-star hotel in the city, on condition of anonymity, has said that normally the hotel draws in an average monthly revenue of Tk 180 million to Tk 200 million. This revenue has now dwindled to Tk 50 million. A few foreigners here on various development projects remain in the country and that generates some business, however negligible.In Chattogram, company secretary of the port city's five-star Hotel Peninsula, Mohammed Nurul Azim, said foreigners are coming less due to coronavirus and even within the country people are travelling less for business and other purposes. Both local and foreign guests have dropped in number, he said.
According to the civil aviation and tourism ministry, there are 17 five-star hotels in the country. Nine of these are in Dhaka, 4 in Cox's Bazar, and one each in Chattogram, Jessore, Bogura and Maulvibazar. There are 4 four-star hotels, two in Dhaka and two in Chattogram.* This report appeared in the print edition of Prothom Alo and has been rewritten in English by Ayesha Kabir
"
"21 Mar,2020",https://en.prothomalo.com/opinion/interview/corona-cripples-tour-operators-2,Prothom Alo,Corona cripples tour operators,"The tourism industry has been hit hard by the coronavirus outbreak. Most trips, tours and bookings are being cancelled. President of the Tour Operators Association of Bangladesh (TOAB) Md Rafeuzzaman speaks to Prothom Alo about the present predicament of the sector.What is the state of the tourism industry in Bangladesh following the coronavirus outbreak?The tourism sector is hit the hardest in times of any calamity. In November last year the first coronavirus patient was detected in China. After China, this spread to Singapore, Thailand and Malaysia.Many people come to Bangladesh and also travel abroad during winter as the weather is pleasant and schools are also closed at this time. So December to February is the peak tourist season. But coronavirus has crushed our business. The virus has spread extensively in all European countries as well as in the US and other countries. Air links with most countries have been suspended. People are too scared to go out. Many countries have out an embargo on travel. Travellers are cancelling their bookings. Corona has crippled the tour operators.Local tourists use the tour operator services too. What about local tourism?A big chunk of our business comes from local tourism, but there has been a negative impact here too. The local administration has prohibited public gatherings at Cox's Bazar, Khagrachhari, Bandarban and Kuakata due to corona. Of course, we support this decision in the greater interests of the country. Though it is harming our business, we are not offering any tour packages for local tourism. We are not marketing our services in this regard. We do not want people to go around the country through the tour operators in this time of coronavirus.The government should provide incentives to the sector. If that is not possible, then they can provide interest-free loans on easy terms. Also, if taxes and the annual civil aviation fees as exempted, this will be a huge relief.
Md Rafeuzzaman, President, TOAB.What percentage of the bookings of your association's 700 members has been cancelled?One hundred percent of the overseas bookings have been cancelled, both to the country and out of the country. In a package, a tour operator arranges for the air ticket, hotel booking, guide, travel and sightseeing for the tourist. With these bookings being cancelled, everyone is facing financial losses. Saudi Airlines and a handful of others are not taking refunds fees when the tickets are being cancelled.the other airlines are imposing the refund charge and so the tour operators are requesting the clients not to cancel their bookings, but to postpone these instead. The clients are not agreeing to this and are cancelling their bookings. The tour operators have having to refund the clients' money and are facing losses.ng the clients not to cancel their bookings, but to postpone these instead. The clients are not agreeing to this and are cancelling their bookings. The tour operators have having to refund the clients' money and are facing losses.Are tour operators going to lay off staff in order to salvage their business during this corona crisis?The tour operators have failed to do any business during the peak season because of corona and so we decided to send 25 to 30 per cent of our employees on retirement with financial benefits. But we are reconsidering this decision on humanitarian grounds. We have asked our member operators not to lay off any employees for the next two months. If necessary, we will send our personal property to pay our staff wages. But if corona continues even after that, then we will not survive.
Taking China's experience into consideration, it will take at least two months or more for the virus to subside. Under the circumstances, what sort of support do you want from the government?Tour operators are bringing in foreign remittance without harming the environment in any way and so given the circumstances, the government should provide incentives to the sector. If that is not possible, then they can provide interest-free loans on easy terms. Also, if taxes and the annual civil aviation fees as exempted, this will be a huge relief. Though 80 per cent of our preparation had been done, we had to postpone our international fair due to coronavirus. TOAB has faced huge financial loses because of this. We will need the government's financial support in future to hold this exposition.
"
"20 Mar,2020",https://en.prothomalo.com/opinion/editorial/no-need-to-hoard-in-corona-fear,Prothom Alo,No need to hoard in corona fear,"Our main task at the moment is to try our best to deal with the coronavirus outbreak that has plagued the world. The virus is not yet widespread in Bangladesh but this is the time we must try to prevent the spread at all levels- public, private, institutional and family.In addition to preventing the virus, we must take into account the problems that may arise as a consequence of this crisis. One such outcome is the price hike of consumer products. People have been purchasing and hoarding goods more than they need, including rice and dal (pulses). Such pictures have appeared in the media over the past few days.There is no need to stock up on essentials as the government has said time and again that our markets have adequate supply of consumer products. We have been seeing that there was no evidence of any shortage of products until a few days ago.Under the circumstances, if everyone starts to buy consumer goods in excess, we will be the reason of the crisis that may arise in the market. At this moment when we should be striving to prevent the outbreak of coronavirus, we will create an additional crisis on our own, and the consequences will not be good for anyone.Commerce minister Tipu Munshi has urged the consumers who are terrified of coronavirus not to purchase extra goods, saying that all commodities and supplies are adequate in the country. We should be conscious of the rumours and make others aware of these. The problem in Bangladesh is the public cannot always trust the government.Previous experience says the government never reveals accurate information. In such a situation it becomes difficult for the public to get an accurate idea of ​​reality. Until the second week of March, the supply of goods in the consumer markets was normal. The consumers could have easily known that. But the assurance of commerce minister seems to have no impact on the sudden rush to purchase consumer goods that has arisen out of coronavirus fear.First of all, people do not trust the government assurance. Secondly, in such situations, some unscrupulous traders are using the situation to make extra profits. As a result, there will be two types of problems. On the one hand, people in anxiety will store consumer goods for the days ahead. On the other hand, unscrupulous traders will hoard consumer goods to further the crisis.It is the responsibility of the government to handle this situation in the sternest way. We must ensure that no one gets any opportunity to hoard goods. Leaders of trade organisations can assist the government in this. The people should follow the trade minister’s request: refrain from buying excess consumer goods.
"
"16 Mar,2020",https://en.prothomalo.com/opinion/love-gives-hope-in-the-time-of-corona,Prothom Alo,Love gives hope in the time of corona,"Gabriel Garcia Marques' novel 'Love in the Time of Cholera' shows the fairy tale of real life, where people can make such a difference. In the time of corona, while the virus distances us from each other, we can draw close in a different way.Students are making masks and distributing them free of cost. A young street vendor in Dhaka has set an example but not taking advantage of the situation and instead continues selling masks at the original price.In Italy, quarantined in their homes, the Italians are singing to their neighbours from their balconies, sending around the message of love. In times where one cannot visit each other, come into contact with each other, such initiatives lift the heart.In China, thousands of volunteers, at the risk of their lives are gathering at Wuhan to clean the city and make it safe. China may have punished the first physician who warned of the virus, the columnist who cautioned the government, but these persons had done a great service to humanity. These examples must be spread.In 'The Decameron', written 600 years ago, it was said that during the Black Death epidemic how citizen avoided citizen, how neighbours scarcely found fellow-feeling for another, how kinspersons held aloof and never met, how fathers and mothers were found to abandon their own children, untended, unvisited, to their fate.In times of natural disaster, people come together. When there are floods, fire, storms and earthquakes, people rush to the rescue. But corona is anti-social, it goes against proximity. When each and every one is a potential germ carrier, this is just a matter of survival. Even a loved one, if affected, creates fear. But a mother won't abandon her child. Everyone should nurture such love. Others' health means my own health, the health of my family. The policy today should be 'live and let live'.Disasters can bring out the worst in us, but it is also a time to bring out the best. There is no point in fearing corona and seeing others as a threat. Such a great crisis cannot be managed without the values of serving others and having faith in humanity.
Corona is more dangerous for the elderly. Their resistance against disease is low. And the people of a country with a weak health system are also vulnerable. And this is such a sickness that you can't even go abroad for treatment. No one will take you.New York Times columnist David Brooks wrote that epidemics kill compassion. It weakens society. In 'The Decameron', written 600 years ago, it was said that during the Black Death epidemic how citizen avoided citizen, how neighbours scarcely found fellow-feeling for another, how kinspersons held aloof and never met, how fathers and mothers were found to abandon their own children, untended, unvisited, to their fate.Generally speaking, even if thousands of people die in an epidemic, no one talks about it in the next century. Life starts again as if nothing happened. No one wants to remember how the disaster had made people so inhuman, how so many people had to suffer and die alone. But writers have captured those times in their words.
Jose Saragamo's novel 'Blindness' stripped away all veneers of civilisation when it showed how people even stopped looking at each other when an epidemic spread where people were losing their eyesight. The writings of Sharatchandra and Tarashankar about the epidemics of the last century do not evoke hope.It is like a war in which everyone is against the other. Everyone eyes each other with suspicion, as a contagion. It is all about protecting your own hand and avoiding the hands of others. Fear feeds on itself. Fear is an epidemic. People turn to all sorts of talismans, drugs, false hope and religious dogma in their state of fear.
Presently we see people returning from Italy and other countries and it was known in advance that they would be arriving. But how are they being kept? Hardly under any humanitarian conditions. Why have they been forced to stay in such poor conditions with their children? Many people on Facebook are expressing their hatred towards those returning from abroad. If the government and the people are reacting to just this number of people in such a manner, how will they deal with things if the situation grows?Masks and hand sanitizers are scarce in the market. Traders are hiking price. People are being hoodwinked by false propaganda on YouTube. What are the government's steps under the circumstances? How are they planning to tackle the crisis ahead? The people have the right to know. Covering up the truth, propagating false news, will just make the situation worse. Iran and China are examples.Just as death by AIDS or in road accidents are part of the times, epidemics are also becoming a part of life. If corona goes, dengue will come. Modern lifestyles and economy have destroyed life as it is, and now new health risks have cropped up. Just as a government prepares its troops to protect the state, now preparation must be made for public health risks. Just as there are permanent programmes in place to deal with AIDS and diabetes, there needs to be preparation to deal with this.If reality is revealed, fear is replaced by responsibility. If we see the state is going all out to tackle the crisis, if we see that the spiral of prices is being controlled, if we see measures are being taken to ensure the availability of essentials, if care facilities are provided for the isolated and ailing, then people's confidence will grow.At the end of the day the question looms large, what has globalisation given us. What has digitation civilisation given us? Globalisation may have strengthened capital, but has failed to unite people of the world. The World Health Organisation has declared a pandemic, but who will draw up rules and regulations and ensure that all the governments abide by these? Global economy has taken a nose dive, how will we deal with that? How prepared are we to ensure food for the poor, nutrition for the children and health for the people if the situation deteriorates? It is not as if things will continue as before and corona will disappear.If a neighbour's house catches fire, so will your own. In the same way, the health of all around us is a precondition to our own good health. Corona will one day be defeated and life will go on. That is why it is vital to keep people, society and humanitarian values alive, even in quarantine."
"16 Mar,2020",https://en.prothomalo.com/entertainment/hollywood/us-box-office-plunges-to-lowest-level-amid-corona-outbreak,Prothom Alo,US box office plunges to lowest level amid corona outbreak,"Much of public life in the United States essentially ground to a halt this week. In the entertainment world, theme parks shut down, Broadway went dark, studios pulled major tentpoles from their release calendar, and virtually all Hollywood movies and TV shows halted production as coronavirus continues to rapidly spread across North America.The exhibition industry, a sector of the film business reliant on the communal experience, has been the one institution reluctant to entirely close its doors amid the ongoing public heath crisis. Prior to Friday, fears of coronavirus didn’t appear to impact moviegoing. But this weekend’s box office results display that significantly fewer people are going to their local multiplex.Ticket sales in North America hit the lowest levels in over two decades, generating roughly $55.3 million between Friday and Sunday. Only one movie, Disney-Pixar’s “Onward,” made more than $10 million over the weekend. The last time revenues were this depressed was a weekend in mid-September of 2000 ($54.5 million). The steep decline pushed the year-to-date box office down almost 9%, according to Comscore.
Domestic receipts were inevitably going to plummet this weekend because AMC and Regal, two of the biggest movie theater chains, and several other circuits like Alamo Drafthouse and Arclight, cut capacity in individual auditoriums by 50% to avoid crowding. Reducing the number of tickets sold per theater helped multiplexes comply with Center for Disease Control and Prevention recommendations for “social distancing.” Theaters also kept room between rows and seats to ensure patrons had ample space.So in all, low ticket sales were a combination of audiences staying home and theaters capping seating capacity.“The impact of this unprecedented situation was apparent across many industries,” said Paul Dergarabedian, a senior media analyst with Comscore. “Of course, movie theaters, amidst reduced capacity and an ever-evolving set of circumstances, had a very challenging weekend.”Last weekend’s champion, Disney-Pixar’s “Onward,” remained the No. 1 movie at the domestic box office, as three new films opened to varying degrees of disappointment. “Onward” pulled in $10.5 million in its second outing, a brutal 73% decline from its inaugural weekend. After two weeks of release, “Onward” has made $60.8 million in North America and $101 million globally.Faith-based drama “I Still Believe,” from Lionsgate and Kingdom Story Company, pulled in the biggest haul among newcomers and placed second on box office charts. The film, starring KJ Apa as Christian singer Jeremy Camp, earned $9.5 million from 3,250 theaters, slightly below expectations. “I Still Believe” was directed by brothers Andrew and Jon Erwin, whose last collaboration, 2018’s “I Can Only Imagine,” debuted to $17 million and ended up grossing $86 million. “I Still Believe” has an “A” CinemaScore and is performing strongest in the south and midwest. Among opening weekend audiences, 74% were female and 73% were over the age of 25.Sony’s superhero thriller “Bloodshot,” starring Vin Diesel, launched at No. 3, bringing in $9.3 million from 2,861 venues. Though only slightly behind the studio’s projections, it’s still a disappointing result for a film that cost $45 million to produce. “Bloodshot”—which earned a “B” CinemaScore from audiences—was co-financed by Columbia Pictures, Bona Film Group and Cross Creek Pictures. Diesel has had trouble attracting crowds to non-“Fast and Furious” endeavors, although in this case, the virus certainly didn’t help draw ticket buyers.“The Hunt,” an R-rated political satire from Universal and Blumhouse, came in fifth place with $5.3 million from 3,028 locations, about half of what was expected heading into the weekend. It carries a $14 million price tag. “The Hunt” had been the subject of controversy since it was initially slated for last September. But Universal scrapped its release in wake of three mass shootings, as well as intense media scrutiny after President Donald Trump criticized it on Twitter. The film, meant to poke fun at the divide between red and blue states, follows elites who kidnap and prey on average Americans for sport. In an early trailer, those being hunted were referred to as “deplorables.” Universal turned the turmoil into a marketing play, calling it the “most talked about movie of the year that nobody has seen... yet.” However, once moviegoers did watch “The Hunt,” they seemed somewhat apathetic. It has a “C+” CinemaScore and a 54% average on Rotten Tomatoes.“The Hunt” came in behind fellow studio release, “The Invisible Man,” now in its third frame. The Elisabeth Moss-led sci-fi thriller generated $6 million, enough for the No. 4 spot. So far, “The Invisible Man” has a cumulative tally of $64.4 million in the U.S. and Canada and $122 million worldwide.Though most theaters in North America remain open to some degree, China, South Korea, Italy and other areas greatly impacted by coronavirus have either completely or partially have shuttered multiplexes for weeks. The mass closures have already resulted in billions of dollars in lost revenues.In light of concerns over coronavirus, exhibitors in the U.S. that stayed open for business took extra precautions to increase sanitation. That included sterilizing seats, arm rests and cup holders more frequently and disinfecting all hand-contact surfaces during peak times.Studio executives and media analysts recognize the global box office is in uncharted territory, with crucial developments unfolding at a rapid pace. By last Thursday, most major Hollywood films that were set to hit theaters over the next two months—including Disney’s “Mulan,” Paramount’s “A Quiet Place Part II,” Universal’s “Fast 9” and MGM’s “No Time to Die”—had been removed from release calendars as the virus’s infection rate continues to increase. That means even if theaters do keep the lights on, the volume of content available will have dramatically shrunk."
"15 Mar,2020",https://en.prothomalo.com/entertainment/bollywood/sandeep-aur-pinky-faraar-postponed-due-to-corona-outbreak,Prothom Alo,Sandeep Aur Pinky Faraar’ postponed due to corona outbreak,"The release date of the upcoming Parineeti Chopra-Arjun Kapoor crime drama “Sandeep Aur Pinky Faraar” has been pushed again, this time owing to the coronavirus pandemic.The Dibakar Banerjee directorial was slated to open on 20 March. On Saturday, less than a week away from release date, the film’s producer Yash Raj Films (YRF) tweeted to inform: “Given the coronavirus (COVID-19) outbreak in the country, we have decided to postpone the release of Dibakar Banerjee’s Sandeep Aur Pinky Faraar. The health and safety of everyone is of utmost importance at this time.”“Sandeep Aur Pinky Faraar” has been jinxed by delay in schedule, Unconfirmed reports state that the film was originally scheduled to open over a year ago. It was finally readied for release next Friday, but it seems like Parineeti and Arjun will have to wait a while longer for their film to see light of day, once the COVID 19 storm passes away.The two actors worked together in the 2012 release “Ishaqzaade”, which marked Arjun’s Bollywood debut. The film was critically acclaimed. They reunited in the 2018 release, “Namaste England”, which performed below expectations.Parineeti and Arjun’s third outing together, “Sandeep Aur Pinky Faraar”, marks Dibakar Banerjee’s return as director to the Bollywood screen for the first time since the 2015 release, “Detective Byomkesh Bakshy!” Parineeti plays a corporate executive named Sandeep Kaur while Arjun is Pinky Dahiya, a policeman. The duo go absconding under unusual circumstances."
"9 Mar,20",https://en.prothomalo.com/bangladesh/padma-bridge-progresses-amid-corona-scare,Prothom Alo,Padma Bridge progresses amid corona scare,"Thirty-year-old Solaiman Khan is a driver at the Padma Bridge project. He is from Bagerhat but has been living in Mawra, Munshiganj, from 17 January 2015 after construction of the bridge began. On the first day of his job, Solaiman stood on the banks of Padma, gazing out at the strong current. Even the larger vessels have a hard time going down the river.Then after the monsoon, sand bars emerged here and there during winter and he would wonder how such a massive bridge would be built over the river. But with the passage of time, Solaiman is seeing the bridge emerge before his eyes.As he drives back and forth between the Padma Bridge project office in Dogachhi, Mawra to the Kumarbhog construction yard several times a day, he mutters, “The bridge is almost complete!” He hopes he will be able to drive from Mawra to Shariatpur on the very day the bridge is inaugurated.Padma Bridge is no longer a dream. It is a reality. Every day progress is made. From the outset the project had seen all sorts of hurdles and things were delayed. And now with the emergence of coronavirus, there is likely to be further delay, road transport and bridges minister Obaidul Quader hinted.On Tuesday, the bridge's 26th span will be put into place.On the morning of 3 March Solaiman was standing by Pier No 1. He pointed to the river, saying, “Look, you can see how Padma Bridge will look. The whole bridge will appear very soon.”He said his was a temporary job with the project and he would have to leave and search for a new job once the bridge was complete. Won’t he feel bad?“Why will I feel bad?” he exclaimed, “It is a dream and not just mine alone. It is everybody’s dream. I am from Bagerhat and it was difficult to go home. It took forever to cross this wide river. Once the bridge is complete, it will take just 10 minutes. Just imagine, I will be able to go to Bagerhat in just three hours!”Head of the Padma Bridge project’s expert committee, Jamilur Reza Chowdhury, told Prothom Alo that work on the bridge may be delayed if the Chinese workers are not released from quarantine to join their work. Also, there will be problems if construction material does not come in time from China. This has not had an impact so far but work may be affected after couple of weeks if the coronavirus situation does not improve.We started out by speedboat with Solaiman Khan at 12 noon from Mawra, headed towards Jajira. The light rain had cleared, giving way to a blue sky. The river was calm. We could see parts of the bridge as we went down the river.So far 25 spans had been placed on 26 piers. From afar it looked like combs had been placed upside down on the river. Piers 10, 26 and 27 jutted out of the water mid-river. On 8 March, pier no 10 had been completed. There was a pontoon attached to pier no 26 where a large vessel was anchored. The workers were climbing from there onto the bridge. Some remained in the vessel, having their lunch. From the top of the pier it was apparent that each of these piers was equal in height to a 10-storey building. The spans were being placed upon these. The bridge was massive. This was quite evident from pier no 26. It would be cemented soon. The Bangladeshi workers were standing talking to the Chinese engineers. They communicated in words and gestures.
Md Rakib Hossain, a local worker, had picked up quite a lot of Chinese. He said, “I began working on pier no 37 in 2015. I have worked on 10 or 12 more piers since then. I didn’t understand Chinese at first, but now I understand quite a lot.”Around 500 feet away from pier 26, work was going on at pier 27. Pier 28's construction was complete. Spans had been placed from pier 29 to all the way to pier 42. Work continued.Trains would run along the two-storey Padma Bridge. Vehicles would run above. Railway slabs had been placed by cranes between the spans. Workers easily carried heavy construction material up steel stairs stretching up around 10 storeys high. The railway line would be laid towards the end. Trains would travel at 80 km down the track along the bridge.


"
"22 Mar,20",https://en.prothomalo.com/bangladesh/all-shopping-centres-to-remain-shut-from-25-to-31-mar,Prothom Alo,All shopping centres to remain shut from 25 to 31 Mar,"All the shopping complexes and malls across the country will remain closed from 25 to 31 March as part of an effort to contain the coronavirus outbreak, reports UNB.Bangladesh Dokan Malik Samity took the decision on Sunday.In a joint statement, signed by the association secretary general M Johirul Haque Bhuiyan said, “All the supermarkets and markets will remain closed from 25 to 31 March.”He said they took the decision as markets have become empty and also to avoid the coronavirus infection by the shop-owners and their employees.Johirul, however, said the kitchen markets, pharmacies and grocery shops and shops selling essentials will remain open during the period.He urged the retailers and wholesalers of essentials not to hike the prices of their items under any situation.
"
