,Date,Link,Newspaper Name,Corrected_Date,Headline_Keywords,Body_Keywords
0,1-Feb-20,https://www.startribune.com/in-epidemics-like-china-s-virus-outbreak-most-economic-damage-stems-from-fear/567439302/,StarTribune,2/1/2020,"['virus', 'outbreak', 'damage', 'China', 'epidemics', 'fear']","['China', 'holiday', 'year', '%', 'week', 'virus', 'people', 'epidemic', 'Li', 'SARS', 'economists', 'epidemics', 'cities', 'province']"
1,1-Feb-20,https://www.startribune.com/even-after-trade-war-detente-prices-for-u-s-crops-didn-t-get-a-lift/567442682/,StarTribune,2/1/2020,"['prices', 'detente', 'U.S.', 'war', 'crops', 'trade', 'lift']","['China', 'trade', 'U.S.', 'prices', 'war', 'soybeans', 'grain', 'farmers', 'crop', 'exports', 'tariffs', 'Minnesota', 'deal', '.']"
2,1-Feb-20,https://www.startribune.com/minneapolis-st-paul-airport-s-quarantine-station-is-on-guard/567449602/,StarTribune,2/1/2020,"['Minneapolis', 'St', 'Paul', 'Airport', 'station', 'guard']","['stations', 'people', 'China', 'U.S.', 'station', 'coronavirus', 'infection', 'fevers', 'influenza', 'Disease', 'director', 'Minneapolis', 'Center', 'virus']"
3,1-Feb-20,https://www.startribune.com/amid-colorful-celebration-at-mall-of-america-some-worry-about-coronavirus-spreading-in-china/567496832/,StarTribune,2/1/2020,"['Mall', 'America', 'coronavirus', 'celebration', 'China']","['China', 'people', 'virus', 'year', 'mall', 'Year', 'celebration', 'dance', 'phone', 'home', 'University', 'Minnesota', 'Chinese', 'family']"
4,1-Feb-20,https://www.startribune.com/market-review-coronavirus-fears-send-wynn-resorts-shares-down/567480422/,StarTribune,2/1/2020,"['fears', 'Wynn', 'Resorts', 'Market', 'review', 'Coronavirus', 'shares']","['%', 'company', 'Tuesday', 'maker', 'quarter', 'Monday', 'China', 'Shares', 'coronavirus', 'U.S.', 'week', 'surge', 'operator', 'Juul']"
5,4-Feb-20,https://www.startribune.com/factories-in-minnesota-across-nation-rebound-from-slumps/567523182/,StarTribune,2/4/2020,"['Minnesota', 'nation', 'rebound', 'Factories', 'slumps']","['trade', 'Creighton', 'January', 'growth', '%', 'sales', 'China', 'manufacturers', 'orders', 'MRG', 'Minnesota', 'food', 'managers', 'month']"
6,4-Feb-20,https://www.startribune.com/state-of-the-union-can-trump-compartmentalize-like-bill-clinton-did/567555612/,StarTribune,2/4/2020,"['State', 'Union', 'compartmentalize', 'Clinton']","['Trump', 'Union', 'Clinton', 'State', 'president', 'night', 'Democrats', 'America', 'time', 'impeachment', 'party', 'way', 'response', 'Adam']"
7,5-Feb-20,https://www.startribune.com/boston-scientific-warns-of-40m-hit-from-coronavirus-outbreak/567582902/?refresh=true,StarTribune,2/5/2020,"['Boston', 'Scientific', 'coronavirus', 'outbreak']","['devices', 'quarter', 'Boston', 'China', '%', 'revenue', 'coronavirus', 'Scientific', 'Wednesday', 'device', 'sales', 'growth', 'share', 'year']"
8,7-Feb-20,https://www.startribune.com/coronavirus-epidemic-will-force-companies-to-be-more-flexible-with-supply-chains/567658572/,StarTribune,2/7/2020,"['epidemic', 'companies', 'supply', 'Coronavirus', 'chains']","['supply', 'disruptions', 'coronavirus', 'chain', 'chains', 'countries', 'manufacturing', 'time', 'stock', 'epidemic', 'outbreak', 'economy', 'China', 'Gartner']"
9,7-Feb-20,https://www.startribune.com/middle-ground-recedes-in-politics-media-and-even-relationships/567673652/,StarTribune,2/7/2020,"['recedes', 'politics', 'media', 'ground', 'relationships']","['news', 'media', 'Trump', 'Pew', '%', 'Democrats', 'Republicans', 'impeachment', 'outlets', 'people', 'Iowa', 'sources', 'divisions', 'election']"
10,8-Feb-20,https://www.startribune.com/university-of-minnesota-braces-for-coronavirus-concerns/567697322/,StarTribune,2/8/2020,"['Minnesota', 'braces', 'coronavirus', 'University', 'concerns']","['students', 'coronavirus', 'campus', 'virus', 'University', 'China', 'country', 'university', 'U', 'Minnesota', 'masks', 'Golden', 'health', 'Boynton']"
11,10-Feb-20,https://www.startribune.com/minneapolis-man-waits-out-quarantine-after-visit-to-wuhan/567743062/,StarTribune,2/10/2020,"['man', 'quarantine', 'visit', 'Minneapolis', 'Wuhan']","['Yin', 'Wuhan', 'China', 'virus', 'U.S.', 'Minnesota', 'San', 'Diego', 'quarantine', 'time', 'evacuees', 'coronavirus', 'infection', 'cases']"
12,11-Feb-20,https://www.startribune.com/report-on-biggest-threats-to-u-s-is-a-thinly-disguised-shakedown/567766862/,StarTribune,2/11/2020,"['threats', 'U.S.', 'shakedown']","['government', 'report', 'America', 'threat', 'security', 'kind', 'menaces', 'Government', 'cash', 'danger', 'Security', 'Counterintelligence', 'funding', 'tax']"
13,13-Feb-20,https://www.startribune.com/target-best-buy-could-be-hit-by-supply-chain-disruptions-because-of-coronavirus/567819212/,StarTribune,2/13/2020,"['supply', 'chain', 'disruptions', 'Buy', 'coronavirus']","['China', 'workers', 'outbreak', 'spokesman', 'companies', 'factory', 'disruptions', 'time', 'customers', 'supply', 'work', 'retailers', 'MacDonald', 'client']"
14,14-Feb-20,https://www.startribune.com/scientists-race-to-design-coronavirus-vaccine/567859972/,StarTribune,2/14/2020,"['Scientists', 'coronavirus', 'vaccine']","['DNA', 'vaccine', 'cells', 'virus', 'Inovio', 'vaccines', 'Weiner', 'coronavirus', 'system', 'instructions', 'proteins', 'lab', 'Park', 'type']"
15,14-Feb-20,https://www.startribune.com/people-always-forget-their-thumbs-mayo-doctor-s-late-night-tv-cameo-on-handwashing-worth-another-look/567891192/,StarTribune,2/14/2020,"['night', 'TV', 'doctor', 'cameo', 'People', 'thumbs', 'Mayo']","['hands', 'Poland', 'Kimmel', 'handwashing', 'time', 'Mayo', 'disease', 'Rodriguez', 'gel', 'fingernails', 'pathogen', 'germy', 'door', 'start']"
16,14-Feb-20,https://www.startribune.com/coronavirus-effects-on-the-oil-industry-likely-to-affect-north-dakota/567890302/,StarTribune,2/14/2020,"['oil', 'industry', 'North', 'effects', 'Coronavirus', 'Dakota']","['oil', 'gas', 'Dakota', 'production', 'North', 'December', '%', 'coronavirus', 'Helms', 'director', 'November', 'demand', 'state', 'Texas']"
17,15-Feb-20,https://www.startribune.com/stock-valuations-elevated-but-not-yet-peaked/567844672/,StarTribune,2/15/2020,"['Stock', 'valuations']","['earnings', '%', 'market', 'S&P', 'year', 'stocks', 'P', 'E', 'stock', 'index', 'term', 'Fed', 'place', 'gains']"
18,15-Feb-20,https://www.startribune.com/ignore-the-myths-on-influenza-lives-are-at-stake/567891052/,StarTribune,2/15/2020,"['myths', 'influenza', 'lives', 'stake']","['flu', 'children', 'Facebook', 'health', 'misinformation', 'coronavirus', 'NBC', 'News', 'risk', 'parlor', 'group', 'doctor', 'breast', 'milk']"
19,17-Feb-20,https://www.startribune.com/blackrock-s-reider-2020-investing-will-be-fine-but-not-like-2019/567949262/,StarTribune,2/17/2020,"['BlackRock', 'Rieder', 'investing']","['year', 'Rieder', 'income', 'bonds', 'rates', 'money', '%', 'Treasuries', 'stocks', 'banks', 'bank', 'assets', 'years', 'asset']"
20,17-Feb-20,https://www.startribune.com/world-nation-briefing/567957292/,StarTribune,2/17/2020,"['World', 'Nation', 'briefing']","['China', 'virus', 'kids', 'Apple', 'outbreak', 'theory', 'Party', 'Monday', 'government', 'officials', 'Communist', 'conspiracy', 'cases', 'Lunar']"
