,Date,Link,Newspaper Name,Corrected_Date,Headline_Keywords,Body_Keywords
0,1-Feb-20,https://www.washingtonpost.com/world/coronavirus-china-live-updates/2020/01/31/eeac61b6-442b-11ea-b503-2b077c436617_story.html,The Washington Post,2/1/2020,"['China', 'nationals', 'entry', 'U.S.', 'health', 'country', 'experts']","['China', 'States', 'health', 'United', 'virus', 'days', 'Friday', 'outbreak', 'Americans', 'officials', 'Organization', 'emergency', '1960s', 'evacuees']"
1,2-Feb-20,https://www.washingtonpost.com/world/2020/02/01/early-missteps-state-secrecy-china-likely-allowed-coronavirus-spread-farther-faster/,The Washington Post,2/2/2020,"['state', 'secrecy', 'China', 'missteps', 'coronavirus']","['China', 'Pan', 'people', 'health', 'government', 'officials', 'Wuhan', 'professionals', 'outbreak', 'disease', 'Year', 'New', 'stability', 'weeks']"
2,3-Feb-20,https://www.washingtonpost.com/business/economy/virus-threatens-us-companies-supply-of-chinese-made-parts-and-materials/2020/02/02/6ee567f0-4478-11ea-b503-2b077c436617_story.html,The Washington Post,2/3/2020,"['supply', 'companies', 'Chinese', 'U.S.', 'parts', 'Virus', 'materials']","['China', 'U.S.', 'United', 'parts', 'economy', 'week', 'States', 'companies', 'factories', 'years', 'coronavirus', 'disease', 'president', 'virus']"
3,3-Feb-20,https://www.washingtonpost.com/world/asia_pacific/china-coronavirus-live-updates/2020/02/02/090d75d8-453d-11ea-99c7-1dfd4241a2fe_story.html,The Washington Post,2/3/2020,"['infections', 'death', 'China', 'Coronavirus', 'outbreak']","['China', 'coronavirus', 'U.S.', 'United', 'people', 'States', 'restrictions', 'Sunday', 'cases', 'disease', 'travel', 'symptoms', 'virus', 'Hua']"
4,3-Feb-20,https://www.washingtonpost.com/outlook/2020/02/03/why-we-should-be-wary-an-aggressive-government-response-coronavirus/,The Washington Post,2/3/2020,"['government', 'response', 'coronavirus']","['health', 'travel', 'people', 'panic', 'CDC', 'officials', 'public', 'Ebola', 'regulations', 'Americans', 'measures', 'government', 'China', 'review']"
5,4-Feb-20,https://www.washingtonpost.com/travel/2020/02/03/what-travelers-should-know-about-face-masks-amid-growing-coronavirus-concerns/,The Washington Post,2/4/2020,"['face', 'masks', 'coronavirus', 'travelers', 'concerns']","['travelers', 'vitamin', 'masks', 'China', 'self', 'form', 'cases', 'faces', 'Health', 'flight', 'kind', 'mask', 'lots', 'water']"
6,5-Feb-20,https://www.washingtonpost.com/politics/2020/02/04/transcript-president-trumps-2020-state-union-address/,The Washington Post,2/5/2020,"['Trump', 'State', 'Union', 'President', 'address']","['people', 'America', 'country', 'Americans', 'years', 'administration', 'record', 'jobs', 'time', 'President', 'world', 'trade', 'United', 'unemployment']"
7,6-Feb-20,https://www.washingtonpost.com/world/asia_pacific/trapped-on-virus-ravaged-cruise-ship-shocked-passengers-struggle-to-keep-spirits-up/2020/02/05/6fbae50c-47d3-11ea-91ab-ce439aa5c7c1_story.html,The Washington Post,2/6/2020,"['cruise', 'ship', 'passengers', 'virus', 'spirits']","['passengers', 'cruise', 'board', 'ship', 'Japan', 'Abel', 'Hong', 'cabin', 'meals', 'Kong', 'Princess', 'Health', 'Japanese', 'Wendy']"
8,8-Feb-20,https://www.washingtonpost.com/world/as-anger-explodes-over-doctors-death-beijing-firm-gives-chinese-government-advice/2020/02/08/6899e3e6-4a52-11ea-9164-d3154ad8a5cd_story.html,The Washington Post,2/8/2020,"['Beijing', 'death', 'firm', 'doctor', 'government', 'anger', 'advice']","['Qi', 'company', 'Party', 'Li', 'China', 'Womin', 'Internet', 'media', 'government', 'Wuhan', 'public', 'doctor', 'reports', 'officials']"
9,9-Feb-20,https://www.washingtonpost.com/world/in-good-and-bad-times-africas-biggest-airline-ethiopian-sticks-by-chinas-side/2020/02/09/67155ffc-4762-11ea-91ab-ce439aa5c7c1_story.html,The Washington Post,2/9/2020,"['Africa', 'airline', 'sticks', 'times', 'China']","['China', 'Africa', 'airline', 'coronavirus', 'Ababa', 'Airlines', 'business', 'Addis', 'countries', 'economy', 'Kenya', 'virus', 'Tewolde', 'Dakar']"
